CH1,CH2,CH3,CH4
7.26E-03,3.02E-03,-1.13E-01,-3.80E-03
7.62E-03,4.45E-03,-1.12E-01,-2.95E-03
6.19E-03,4.03E-03,-1.10E-01,-1.86E-03
5.00E-03,2.30E-03,-1.09E-01,-2.12E-03
5.61E-03,1.69E-03,-1.11E-01,-3.21E-03
7.26E-03,3.00E-03,-1.13E-01,-3.80E-03
7.62E-03,4.44E-03,-1.12E-01,-2.95E-03
6.21E-03,4.04E-03,-1.10E-01,-1.86E-03
5.01E-03,2.31E-03,-1.09E-01,-2.11E-03
5.60E-03,1.70E-03,-1.11E-01,-3.20E-03
7.25E-03,3.00E-03,-1.13E-01,-3.80E-03
7.62E-03,4.43E-03,-1.12E-01,-2.96E-03
6.21E-03,4.04E-03,-1.10E-01,-1.87E-03
5.01E-03,2.32E-03,-1.09E-01,-2.11E-03
5.60E-03,1.69E-03,-1.11E-01,-3.20E-03
7.24E-03,2.99E-03,-1.13E-01,-3.81E-03
7.61E-03,4.42E-03,-1.12E-01,-2.97E-03
6.21E-03,4.04E-03,-1.10E-01,-1.87E-03
5.00E-03,2.31E-03,-1.09E-01,-2.11E-03
5.58E-03,1.68E-03,-1.11E-01,-3.20E-03
7.23E-03,2.96E-03,-1.13E-01,-3.81E-03
7.61E-03,4.41E-03,-1.12E-01,-2.98E-03
6.22E-03,4.05E-03,-1.10E-01,-1.88E-03
5.00E-03,2.32E-03,-1.09E-01,-2.11E-03
5.58E-03,1.68E-03,-1.11E-01,-3.20E-03
7.23E-03,2.96E-03,-1.13E-01,-3.81E-03
7.63E-03,4.40E-03,-1.12E-01,-2.98E-03
6.23E-03,4.05E-03,-1.10E-01,-1.88E-03
5.01E-03,2.32E-03,-1.09E-01,-2.10E-03
5.57E-03,1.67E-03,-1.11E-01,-3.19E-03
7.22E-03,2.94E-03,-1.13E-01,-3.81E-03
7.63E-03,4.40E-03,-1.12E-01,-2.99E-03
6.23E-03,4.05E-03,-1.10E-01,-1.87E-03
5.00E-03,2.32E-03,-1.09E-01,-2.10E-03
5.57E-03,1.67E-03,-1.11E-01,-3.19E-03
7.22E-03,2.93E-03,-1.13E-01,-3.81E-03
7.63E-03,4.40E-03,-1.12E-01,-2.99E-03
6.25E-03,4.06E-03,-1.10E-01,-1.88E-03
5.02E-03,2.33E-03,-1.09E-01,-2.09E-03
5.56E-03,1.66E-03,-1.11E-01,-3.18E-03
7.21E-03,2.92E-03,-1.13E-01,-3.81E-03
7.63E-03,4.39E-03,-1.12E-01,-3.00E-03
6.25E-03,4.07E-03,-1.10E-01,-1.88E-03
5.02E-03,2.34E-03,-1.09E-01,-2.09E-03
5.57E-03,1.67E-03,-1.11E-01,-3.18E-03
7.22E-03,2.92E-03,-1.13E-01,-3.82E-03
7.65E-03,4.40E-03,-1.12E-01,-3.01E-03
6.27E-03,4.08E-03,-1.10E-01,-1.88E-03
5.02E-03,2.35E-03,-1.09E-01,-2.09E-03
5.55E-03,1.67E-03,-1.11E-01,-3.17E-03
7.20E-03,2.91E-03,-1.13E-01,-3.82E-03
7.64E-03,4.39E-03,-1.12E-01,-3.01E-03
6.27E-03,4.08E-03,-1.10E-01,-1.89E-03
5.02E-03,2.35E-03,-1.09E-01,-2.08E-03
5.54E-03,1.66E-03,-1.11E-01,-3.17E-03
