CH1,CH2,CH3,CH4,,,,,,,,,,,,,
-9.45E-03,-6.39E-03,4.04E-03,-1.16E-02,,,,,,,,,,,,,
-9.16E-03,-6.30E-03,3.73E-03,-1.06E-02,,,,,,,,,,,,,
-8.78E-03,-6.09E-03,4.44E-03,-8.76E-03,,,,,,,,,,,,,
-8.86E-03,-6.04E-03,5.34E-03,-8.66E-03,,,,,,,,,,,,,
-9.32E-03,-6.25E-03,5.04E-03,-1.06E-02,,,,,,,,,,,,,
-9.46E-03,-6.39E-03,4.05E-03,-1.16E-02,,,,,,,,,,,,,
-9.16E-03,-6.31E-03,3.73E-03,-1.06E-02,,,,,,,,,,,,,
-8.78E-03,-6.10E-03,4.45E-03,-8.76E-03,,,,,,,,,,,,,
-8.86E-03,-6.04E-03,5.36E-03,-8.66E-03,,,,,,,,,,,,,
-9.31E-03,-6.25E-03,5.07E-03,-1.06E-02,,,,,,,,,,,,,
-9.45E-03,-6.40E-03,4.07E-03,-1.16E-02,,,,,,,,,,,,,
-9.16E-03,-6.31E-03,3.74E-03,-1.06E-02,,,,,,,,,,,,,
-8.78E-03,-6.10E-03,4.45E-03,-8.76E-03,,,,,,,,,,,,,
-8.85E-03,-6.05E-03,5.36E-03,-8.65E-03,,,,,,,,,,,,,
-9.31E-03,-6.25E-03,5.06E-03,-1.06E-02,,,,,,,,,,,,,
-9.45E-03,-6.40E-03,4.06E-03,-1.16E-02,,,,,,,,,,,,,
-9.16E-03,-6.31E-03,3.74E-03,-1.06E-02,,,,,,,,,,,,,
-8.78E-03,-6.10E-03,4.45E-03,-8.76E-03,,,,,,,,,,,,,
-8.85E-03,-6.04E-03,5.36E-03,-8.65E-03,,,,,,,,,,,,,
-9.30E-03,-6.25E-03,5.06E-03,-1.06E-02,,,,,,,,,,,,,
-9.44E-03,-6.39E-03,4.06E-03,-1.16E-02,,,,,,,,,,,,,
-9.15E-03,-6.30E-03,3.74E-03,-1.06E-02,,,,,,,,,,,,,
-8.77E-03,-6.09E-03,4.45E-03,-8.76E-03,,,,,,,,,,,,,
-8.84E-03,-6.03E-03,5.35E-03,-8.65E-03,,,,,,,,,,,,,
-9.29E-03,-6.24E-03,5.06E-03,-1.06E-02,,,,,,,,,,,,,
-9.43E-03,-6.38E-03,4.06E-03,-1.16E-02,,,,,,,,,,,,,
-9.14E-03,-6.29E-03,3.74E-03,-1.06E-02,,,,,,,,,,,,,
-8.76E-03,-6.08E-03,4.44E-03,-8.76E-03,,,,,,,,,,,,,
-8.83E-03,-6.03E-03,5.35E-03,-8.65E-03,,,,,,,,,,,,,
-9.30E-03,-6.23E-03,5.06E-03,-1.06E-02,,,,,,,,,,,,,
-9.44E-03,-6.38E-03,4.05E-03,-1.16E-02,,,,,,,,,,,,,
-9.15E-03,-6.29E-03,3.73E-03,-1.06E-02,,,,,,,,,,,,,
-8.77E-03,-6.08E-03,4.44E-03,-8.76E-03,,,,,,,,,,,,,
-8.84E-03,-6.03E-03,5.35E-03,-8.65E-03,,,,,,,,,,,,,
-9.30E-03,-6.24E-03,5.06E-03,-1.06E-02,,,,,,,,,,,,,
-9.44E-03,-6.38E-03,4.05E-03,-1.16E-02,,,,,,,,,,,,,
-9.15E-03,-6.29E-03,3.73E-03,-1.06E-02,,,,,,,,,,,,,
-8.77E-03,-6.08E-03,4.44E-03,-8.75E-03,,,,,,,,,,,,,
-8.84E-03,-6.03E-03,5.35E-03,-8.63E-03,,,,,,,,,,,,,
