CH1,CH2,CH3,CH4
-2.71E-03,-7.28E-03,2.98E-03,4.29E-03
-2.68E-03,-7.29E-03,2.97E-03,4.29E-03
-2.65E-03,-7.30E-03,2.95E-03,4.29E-03
-2.63E-03,-7.30E-03,2.93E-03,4.29E-03
-2.62E-03,-7.31E-03,2.92E-03,4.29E-03
-2.61E-03,-7.32E-03,2.90E-03,4.28E-03
-2.59E-03,-7.33E-03,2.89E-03,4.28E-03
-2.57E-03,-7.33E-03,2.88E-03,4.28E-03
-2.55E-03,-7.33E-03,2.86E-03,4.28E-03
-2.54E-03,-7.34E-03,2.85E-03,4.28E-03
-2.53E-03,-7.35E-03,2.84E-03,4.27E-03
-2.52E-03,-7.35E-03,2.84E-03,4.27E-03
-2.50E-03,-7.36E-03,2.83E-03,4.27E-03
-2.48E-03,-7.36E-03,2.82E-03,4.27E-03
-2.48E-03,-7.36E-03,2.81E-03,4.27E-03
-2.47E-03,-7.37E-03,2.81E-03,4.27E-03
-2.46E-03,-7.38E-03,2.80E-03,4.27E-03
-2.45E-03,-7.38E-03,2.80E-03,4.27E-03
-2.44E-03,-7.38E-03,2.79E-03,4.27E-03
-2.45E-03,-7.39E-03,2.79E-03,4.26E-03
-2.45E-03,-7.40E-03,2.79E-03,4.26E-03
-2.45E-03,-7.40E-03,2.79E-03,4.26E-03
-2.44E-03,-7.41E-03,2.78E-03,4.26E-03
-2.44E-03,-7.41E-03,2.78E-03,4.26E-03
-2.45E-03,-7.42E-03,2.78E-03,4.26E-03
-2.47E-03,-7.43E-03,2.78E-03,4.26E-03
-2.47E-03,-7.44E-03,2.78E-03,4.25E-03
-2.47E-03,-7.44E-03,2.78E-03,4.25E-03
-2.47E-03,-7.44E-03,2.78E-03,4.25E-03
-2.49E-03,-7.45E-03,2.78E-03,4.25E-03
-2.50E-03,-7.46E-03,2.78E-03,4.25E-03
-2.51E-03,-7.47E-03,2.78E-03,4.24E-03
-2.52E-03,-7.47E-03,2.78E-03,4.24E-03
-2.52E-03,-7.48E-03,2.78E-03,4.24E-03
-2.54E-03,-7.48E-03,2.78E-03,4.24E-03
-2.56E-03,-7.50E-03,2.79E-03,4.24E-03
-2.57E-03,-7.50E-03,2.79E-03,4.24E-03
-2.58E-03,-7.51E-03,2.79E-03,4.23E-03
-2.59E-03,-7.51E-03,2.79E-03,4.23E-03
-2.60E-03,-7.52E-03,2.79E-03,4.23E-03
-2.63E-03,-7.53E-03,2.80E-03,4.23E-03
-2.64E-03,-7.54E-03,2.80E-03,4.23E-03
-2.64E-03,-7.54E-03,2.80E-03,4.23E-03
-2.65E-03,-7.55E-03,2.80E-03,4.22E-03
-2.66E-03,-7.55E-03,2.81E-03,4.22E-03
-2.68E-03,-7.56E-03,2.81E-03,4.22E-03
-2.69E-03,-7.57E-03,2.81E-03,4.22E-03
-2.69E-03,-7.57E-03,2.82E-03,4.22E-03
-2.70E-03,-7.57E-03,2.82E-03,4.22E-03
-2.71E-03,-7.58E-03,2.82E-03,4.22E-03
-2.72E-03,-7.59E-03,2.82E-03,4.22E-03
-2.73E-03,-7.59E-03,2.82E-03,4.21E-03
-2.72E-03,-7.59E-03,2.82E-03,4.22E-03
-2.73E-03,-7.59E-03,2.82E-03,4.22E-03
-2.74E-03,-7.59E-03,2.82E-03,4.22E-03
-2.75E-03,-7.60E-03,2.82E-03,4.21E-03
-2.75E-03,-7.60E-03,2.83E-03,4.21E-03
-2.74E-03,-7.60E-03,2.83E-03,4.22E-03
-2.74E-03,-7.60E-03,2.82E-03,4.22E-03
-2.75E-03,-7.60E-03,2.82E-03,4.22E-03
-2.76E-03,-7.61E-03,2.83E-03,4.22E-03
-2.75E-03,-7.61E-03,2.83E-03,4.22E-03
-2.75E-03,-7.60E-03,2.83E-03,4.22E-03
-2.74E-03,-7.60E-03,2.82E-03,4.22E-03
-2.75E-03,-7.60E-03,2.82E-03,4.22E-03
-2.76E-03,-7.61E-03,2.82E-03,4.22E-03
-2.76E-03,-7.61E-03,2.83E-03,4.22E-03
-2.75E-03,-7.61E-03,2.82E-03,4.22E-03
